19,10066,"House of Wax","2005-05-06 00:00:00","/mlLHueKU7upuFHowQK80O96xp7O.jpg","A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit."
20,11377,"House on Haunted Hill","1999-10-27 00:00:00","/yedchBbI23FgDjWP1tvahOZgiks.jpg","A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past."
21,43947,"I Spit on Your Grave","2010-10-08 00:00:00","/7hA8FfUAwBJut4MSIhR6eCF8li7.jpg","A remake of the 1979 controversial cult classic, I Spit on Your Grave retells the horrific tale of writer Jennifer Hills who takes a retreat from the city to a charming cabin in the woods to start on her next book. But Jennifer's presence in the small town attracts the attention of a few morally deprived locals led by Johnny, the town's service station owner, his two co-workers, Andy and Stanley, who along with their socially and mentally challenged friend Matthew, set out one night to teach this city girl a lesson."
22,49018,"Insidious","2011-04-01 00:00:00","/dsV14onDYOVkGQsT7u1tjhKKPPh.jpg","Insidious is the terrifying story of a family who shortly after moving discover that dark spirits have possessed their home and that their son has inexplicably fallen into a coma. Trying to escape the haunting and save their son, they move again only to realise that it was not their house that was haunted."
23,63207,"Intruders","2011-09-16 00:00:00","/1Z1cK30TV0wzLh05OGjtEuPZ786.jpg","Though no one can see him, Hollow Face lurks in the corners, desperately desiring love but only knowing how to spread fear and hate. He creeps into the life of John Farrow (Clive Owen) after Farrow’s beloved 13-year-old daughter Mia (Ella Purnell) is assaulted in their home. The line between the real and the imaginary blurs as fissures start to open within the family unit. It seems that no security measure can keep Hollow Face out."
24,17618,"Laid To Rest","2009-04-02 00:00:00","/7w5ILB56HtAhyJTCQpwdDyym3gX.jpg","A terrifying story of a young girl who wakes up in a casket with a traumatic head injury and no memory of her identity. She quickly realizes she was abducted by a Deranged Serial Murderer and in an isolated rural town she must survive the night and outsmart the technologically inclined killer who is hellbent on finishing what he started."
25,55723,"ChromeSkull: Laid to Rest 2","2011-09-20 00:00:00","/mcAp24SK98rjwvj8HuTQrjrvohG.jpg","""ChromeSkull"" is the sequel to the 2009 horror hit ""Laid to Rest."" It brings back ChromeSkull, who barely escaped death in the first movie and is hell-bent on continuing where he left off... and forging a new path of terror and destruction."
26,11683,"Land of the Dead","2005-06-24 00:00:00","/1VYvkSiyJg9Za2R5KSHjUygLKEq.jpg","The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city."
27,27346,"Maniac","1980-12-26 00:00:00","/qmU3xYrcE0fLja9IbixOs9vhtTC.jpg","A schizoid serial killer randomly stalks and kills various young women in New York, which he sees as revenge for the mistreatment he got while being raised by his own abusive mother."
28,10331,"Night of the Living Dead","1968-10-01 00:00:00","/aNAgmnLyK0EsPzsjR2i1wHQufjf.jpg","A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype."
